newspaper;party;count
AfDkompakt;AfD;7416
AfDkompakt;CDU;5796
AfDkompakt;CSU;219
AfDkompakt;Die Grünen;48
AfDkompakt;Die Linke;224
AfDkompakt;FDP;1225
AfDkompakt;NPD;4
AfDkompakt;Piratenpartei;1
AfDkompakt;SPD;888
AfDkompakt;fraktionslos;40
Bayernkurier;AfD;178
Bayernkurier;CDU;1445
Bayernkurier;CSU;2923
Bayernkurier;Die Grünen;145
Bayernkurier;Die Linke;165
Bayernkurier;FDP;200
Bayernkurier;NPD;13
Bayernkurier;Piratenpartei;2
Bayernkurier;SPD;1454
Bayernkurier;fraktionslos;15
Bild;AfD;3012
Bild;CDU;11660
Bild;CSU;4224
Bild;Die Grünen;1401
Bild;Die Linke;1541
Bild;FDP;2909
Bild;NPD;122
Bild;Piratenpartei;21
Bild;SPD;12520
Bild;fraktionslos;521
Der-Postillon;AfD;52
Der-Postillon;CDU;207
Der-Postillon;CSU;79
Der-Postillon;Die Grünen;8
Der-Postillon;Die Linke;7
Der-Postillon;FDP;57
Der-Postillon;NPD;3
Der-Postillon;Piratenpartei;1
Der-Postillon;SPD;272
Der-Postillon;fraktionslos;15
FAZ;AfD;5650
FAZ;CDU;14842
FAZ;CSU;6432
FAZ;Die Grünen;1472
FAZ;Die Linke;2641
FAZ;FDP;3903
FAZ;NPD;175
FAZ;Piratenpartei;32
FAZ;SPD;15093
FAZ;fraktionslos;443
FR;AfD;3388
FR;CDU;10732
FR;CSU;3752
FR;Die Grünen;942
FR;Die Linke;2345
FR;FDP;2785
FR;NPD;273
FR;Piratenpartei;23
FR;SPD;11670
FR;fraktionslos;438
Focus;AfD;9083
Focus;CDU;29707
Focus;CSU;11569
Focus;Die Grünen;3423
Focus;Die Linke;4555
Focus;FDP;6495
Focus;NPD;406
Focus;Piratenpartei;45
Focus;SPD;28598
Focus;fraktionslos;1005
Gruene.de;AfD;33
Gruene.de;CDU;120
Gruene.de;CSU;61
Gruene.de;Die Grünen;376
Gruene.de;Die Linke;19
Gruene.de;FDP;42
Gruene.de;Piratenpartei;1
Gruene.de;SPD;98
Handelsblatt;AfD;1267
Handelsblatt;CDU;5540
Handelsblatt;CSU;2199
Handelsblatt;Die Grünen;552
Handelsblatt;Die Linke;447
Handelsblatt;FDP;1339
Handelsblatt;NPD;34
Handelsblatt;Piratenpartei;1
Handelsblatt;SPD;5846
Handelsblatt;fraktionslos;192
Huffingtonpost;AfD;4925
Huffingtonpost;CDU;9718
Huffingtonpost;CSU;3232
Huffingtonpost;Die Grünen;1132
Huffingtonpost;Die Linke;3247
Huffingtonpost;FDP;2285
Huffingtonpost;NPD;138
Huffingtonpost;Piratenpartei;29
Huffingtonpost;SPD;8728
Huffingtonpost;fraktionslos;437
JungeFreiheit;AfD;1432
JungeFreiheit;CDU;1899
JungeFreiheit;CSU;662
JungeFreiheit;Die Grünen;205
JungeFreiheit;Die Linke;210
JungeFreiheit;FDP;333
JungeFreiheit;NPD;39
JungeFreiheit;Piratenpartei;14
JungeFreiheit;SPD;1564
JungeFreiheit;fraktionslos;146
JungeWelt;AfD;659
JungeWelt;CDU;1618
JungeWelt;CSU;627
JungeWelt;Die Grünen;189
JungeWelt;Die Linke;1107
JungeWelt;FDP;324
JungeWelt;NPD;87
JungeWelt;Piratenpartei;4
JungeWelt;SPD;2091
JungeWelt;fraktionslos;58
N-TV;AfD;3886
N-TV;CDU;10003
N-TV;CSU;5621
N-TV;Die Grünen;1404
N-TV;Die Linke;1417
N-TV;FDP;2287
N-TV;NPD;135
N-TV;Piratenpartei;13
N-TV;SPD;10681
N-TV;fraktionslos;618
National-Zeitung;AfD;30
National-Zeitung;CDU;98
National-Zeitung;CSU;15
National-Zeitung;Die Grünen;3
National-Zeitung;FDP;11
National-Zeitung;SPD;48
National-Zeitung;fraktionslos;3
Neues-Deutschland;AfD;2294
Neues-Deutschland;CDU;8549
Neues-Deutschland;CSU;3016
Neues-Deutschland;Die Grünen;1560
Neues-Deutschland;Die Linke;5933
Neues-Deutschland;FDP;1946
Neues-Deutschland;NPD;428
Neues-Deutschland;Piratenpartei;50
Neues-Deutschland;SPD;9882
Neues-Deutschland;fraktionslos;260
Spiegel;AfD;5255
Spiegel;CDU;16930
Spiegel;CSU;7037
Spiegel;Die Grünen;1944
Spiegel;Die Linke;2703
Spiegel;FDP;3837
Spiegel;NPD;286
Spiegel;Piratenpartei;26
Spiegel;SPD;18181
Spiegel;fraktionslos;616
Stern;AfD;1477
Stern;CDU;3681
Stern;CSU;1668
Stern;Die Grünen;467
Stern;Die Linke;389
Stern;FDP;812
Stern;NPD;41
Stern;Piratenpartei;7
Stern;SPD;4142
Stern;fraktionslos;232
Sueddeutsche;AfD;3518
Sueddeutsche;CDU;13993
Sueddeutsche;CSU;9501
Sueddeutsche;Die Grünen;2158
Sueddeutsche;Die Linke;1866
Sueddeutsche;FDP;3305
Sueddeutsche;NPD;175
Sueddeutsche;Piratenpartei;28
Sueddeutsche;SPD;17021
Sueddeutsche;fraktionslos;380
TAZ;AfD;3401
TAZ;CDU;10583
TAZ;CSU;3414
TAZ;Die Grünen;2280
TAZ;Die Linke;4345
TAZ;FDP;2701
TAZ;NPD;625
TAZ;Piratenpartei;155
TAZ;SPD;11641
TAZ;fraktionslos;298
Tagesschau;AfD;1165
Tagesschau;CDU;4016
Tagesschau;CSU;2109
Tagesschau;Die Grünen;729
Tagesschau;Die Linke;517
Tagesschau;FDP;974
Tagesschau;NPD;49
Tagesschau;Piratenpartei;7
Tagesschau;SPD;4550
Tagesschau;fraktionslos;129
Tagesspiegel;AfD;2838
Tagesspiegel;CDU;10396
Tagesspiegel;CSU;3323
Tagesspiegel;Die Grünen;1472
Tagesspiegel;Die Linke;2341
Tagesspiegel;FDP;2368
Tagesspiegel;NPD;212
Tagesspiegel;Piratenpartei;32
Tagesspiegel;SPD;11613
Tagesspiegel;fraktionslos;347
Unsere-Zeit;AfD;193
Unsere-Zeit;CDU;556
Unsere-Zeit;CSU;244
Unsere-Zeit;Die Grünen;59
Unsere-Zeit;Die Linke;274
Unsere-Zeit;FDP;108
Unsere-Zeit;NPD;25
Unsere-Zeit;Piratenpartei;2
Unsere-Zeit;SPD;619
Unsere-Zeit;fraktionslos;6
Vorwaerts;AfD;565
Vorwaerts;CDU;1091
Vorwaerts;CSU;371
Vorwaerts;Die Grünen;38
Vorwaerts;Die Linke;126
Vorwaerts;FDP;162
Vorwaerts;NPD;79
Vorwaerts;Piratenpartei;3
Vorwaerts;SPD;4468
Vorwaerts;fraktionslos;67
Welt;AfD;7239
Welt;CDU;27458
Welt;CSU;11626
Welt;Die Grünen;3908
Welt;Die Linke;3892
Welt;FDP;6766
Welt;NPD;327
Welt;Piratenpartei;31
Welt;SPD;30300
Welt;fraktionslos;837
