party;politician;count
AfD;AfD;48459
AfD;Alexander Gauland;10185
AfD;Alice Weidel;5537
AfD;Beatrix von Storch;1282
AfD;Georg Pazderski;1248
AfD;Jörg Meuthen;3224
AfD;Other politicians;3271
CDU;Angela Merkel;65703
CDU;Annegret Kramp-Karrenbauer;4015
CDU;Armin Laschet;4838
CDU;CDU;74084
CDU;Daniel Günther;3388
CDU;Helmut Kohl;2465
CDU;Hermann Gröhe;1525
CDU;Jens Spahn;7232
CDU;Julia Klöckner;2896
CDU;Junge Union;2052
CDU;Michael Kretschmer;1082
CDU;Ole Schröder;2616
CDU;Other politicians;10091
CDU;Peter Altmaier;4602
CDU;Peter Tauber;2013
CDU;Thomas Strobl;2313
CDU;Thomas de Maizière;7466
CDU;Ursula von der Leyen;5543
CDU;Volker Bouffier;2195
CDU;Volker Kauder;2758
CDU;Wolfgang Schäuble;7223
CSU;Alexander Dobrindt;7997
CSU;Andreas Scheuer;3486
CSU;CSU;41461
CSU;Christian Schmidt;1935
CSU;Gerd Müller;1001
CSU;Horst Seehofer;20952
CSU;Manfred Weber;1264
CSU;Markus Söder;7127
CSU;Other politicians;4975
Die Grünen;Annalena Baerbock;1473
Die Grünen;Anton Hofreiter;1034
Die Grünen;Bündnis 90;2208
Die Grünen;Cem Özdemir;4929
Die Grünen;Jürgen Trittin;2248
Die Grünen;Katrin Göring-Eckardt;3291
Die Grünen;Other politicians;5138
Die Grünen;Robert Habeck;4109
Die Grünen;Winfried Kretschmann;3598
Die Linke;Bernd Riexinger;1734
Die Linke;Bodo Ramelow;1712
Die Linke;Die Linke;23503
Die Linke;Dietmar Bartsch;1167
Die Linke;Katja Kipping;2451
Die Linke;Other politicians;6196
Die Linke;Sahra Wagenknecht;5995
FDP;Christian Lindner;12541
FDP;FDP;31114
FDP;Other politicians;2944
FDP;Wolfgang Kubicki;4039
NPD;NPD;3964
Piratenpartei;Other politicians;559
SPD;Andrea Nahles;11598
SPD;Barbara Hendricks;3627
SPD;Brigitte Zypries;2446
SPD;Frank-Walter Steinmeier;8700
SPD;Heiko Maas;8051
SPD;Hubertus Heil;1743
SPD;Jusos;1353
SPD;Katarina Barley;3607
SPD;Lars Klingbeil;1806
SPD;Malu Dreyer;3047
SPD;Manuela Schwesig;3855
SPD;Martin Schulz;38419
SPD;Michael Müller;2681
SPD;Natascha Kohnen;1401
SPD;Olaf Scholz;8584
SPD;Other politicians;9466
SPD;Ralf Stegner;4089
SPD;SPD;88755
SPD;Sigmar Gabriel;19190
SPD;Stephan Weil;2412
SPD;Thomas Oppermann;2630
SPD;Thorsten Schäfer-Gümbel;1574
fraktionslos;Frauke Petry;7045
fraktionslos;Other politicians;588
