Achim Kessler;Achim;Kessler;Die Linke;member of federal parliament 2
Achim Post;Achim;Post;SPD;member of federal parliament 2
Agnes Alpers;Agnes;Alpers;Die Linke;member of federal parliament 1
Agnieszka Brugger;Agnieszka;Brugger;Die Grünen;member of federal parliament 1
Albert Rupprecht;Albert;Rupprecht;CSU;member of federal parliament 1
Albert Stegemann;Albert;Stegemann;CDU;member of federal parliament 1
Albert Weiler;Albert;Weiler;CDU;member of federal parliament 1
Alexander Funk;Alexander;Funk;CDU;member of federal parliament 1
Alexander Graf Lambsdorff;Alexander Graf;Lambsdorff;FDP;member of federal parliament 2
Alexander Hoffmann;Alexander;Hoffmann;CSU;member of federal parliament 1
Alexander Krauß;Alexander;Krauß;CDU;member of federal parliament 2
Alexander Kulitz;Alexander;Kulitz;FDP;member of federal parliament 2
Alexander Müller;Alexander;Müller;FDP;member of federal parliament 2
Alexander Neu;Alexander;Neu;Die Linke;member of federal parliament 1
Alexander Radwan;Alexander;Radwan;CSU;member of federal parliament 1
Alexander Throm;Alexander;Throm;CDU;member of federal parliament 2
Alexander Ulrich;Alexander;Ulrich;Die Linke;member of federal parliament 1
Alexandra Dinges-Dierig;Alexandra;Dinges-Dierig;CDU;member of federal parliament 1
Alice Weidel;Alice;Weidel;AfD;member of federal parliament 2
Alois Georg Josef Rainer;Alois Georg Josef;Rainer;CSU;member of federal parliament 1
Alois Gerig;Alois;Gerig;CDU;member of federal parliament 1
Alois Karl;Alois;Karl;CSU;member of federal parliament 1
Alois Rainer;Alois;Rainer;CSU;member of federal parliament 2
Amira Mohamed Ali;Amira Mohamed;Ali;Die Linke;member of federal parliament 2
André Berghegger;André;Berghegger;CDU;member of federal parliament 1
André Hahn;André;Hahn;Die Linke;member of federal parliament 1
Andrea Lindholz;Andrea;Lindholz;CSU;member of federal parliament 1
Andrea Wicklein;Andrea;Wicklein;SPD;member of federal parliament 1
Andreas Bleck;Andreas;Bleck;AfD;member of federal parliament 2
Andreas Jung;Andreas;Jung;CDU;member of federal parliament 2
Andreas Lämmel;Andreas;Lämmel;CDU;member of federal parliament 1
Andreas Lenz;Andreas;Lenz;CSU;member of federal parliament 1
